species,chemical,kabs,Cl_renal,Cl_hepatic,Vmax_tot,Km_tot,fbact
cat,deoxynivalenol,NA,NA,NA,NA,NA,NA
cat,chlorpyrifos,NA,NA,NA,NA,NA,NA
cat,oxytetracycline,0.0315,0.0029,0,NA,NA,0
cat,meloxicam,0.021,1.72E-03,3.43E-03,NA,NA,0
cat,melamine,0.016,0.0012,0,NA,NA,0
cat,monensin,NA,NA,NA,NA,NA,NA
cat,PFOS,NA,NA,NA,NA,NA,NA
cattle,deoxynivalenol,NA,NA,NA,NA,NA,NA
cattle,chlorpyrifos,0.025,0.0000767,0,NA,NA,0
cattle,oxytetracycline,0,0.0015,0,NA,NA,0
cattle,meloxicam,NA,NA,NA,NA,NA,NA
cattle,melamine,0.0034,0.0032,0.0011,NA,NA,0
cattle,monensin,NA,NA,NA,NA,NA,NA
cattle,PFOS,0.018566667,1.04E-08,2.07E-06,NA,NA,1
chicken,deoxynivalenol,NA,NA,NA,NA,NA,NA
chicken,chlorpyrifos,NA,NA,NA,NA,NA,NA
chicken,oxytetracycline,0.014,0.0032,0,NA,NA,0
chicken,meloxicam,NA,NA,NA,NA,NA,NA
chicken,melamine,0.006,0.0012,0,NA,NA,0s 
chicken,monensin,NA,NA,NA,NA,NA,NA
chicken,PFOS,NA,NA,NA,NA,NA,NA
sheep,deoxynivalenol,NA,NA,NA,NA,NA,NA
sheep,chlorpyrifos,NA,NA,NA,NA,NA,NA
sheep,oxytetracycline,0,0.0024,0,NA,NA,0
sheep,meloxicam,NA,NA,NA,NA,NA,NA
sheep,melamine,0.0034,0.0032,0.0011,NA,NA,0
sheep,monensin,NA,NA,NA,NA,NA,NA
sheep,PFOS,NA,NA,NA,NA,NA,NA
swine,deoxynivalenol,0.061,0.0001,0.01253,1.68,5.79310344827586,0
swine,chlorpyrifos,0.025,0.0000767,0,NA,NA,0
swine,oxytetracycline,0.0315,0.0029,0,NA,NA,0
swine,meloxicam,NA,NA,NA,NA,NA,NA
swine,melamine,0.016,0.0013,0,NA,NA,0
swine,monensin,NA,NA,NA,NA,NA,NA
swine,PFOS,0.018566667,1.04E-08,2.07E-06,NA,NA,1
